ID,Modelo,Version,Precio Inicial,Descuento,Precio Final,Fecha Matriculacion,Kilometros,Tipo Motor,Consumo,Etiqueta Ambiental,URL imagen,Enlace
1,Peugeot 208,"1.2 PureTech 100cv Allure  - Berlina con portón, 5 Puertas",22.490 €,-16%,18.880 €,06/2023,13.036 Km,Gasolina,"Consumo (combinado): 4,2 l/100km",etiqueta ambiental C,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/HbsqDjszIEkEb3Ft.jpg?opacity=0&size=30&position=TOP_RIGHT&border=8&watermark=/dealer/datafiles/vehicle/images/watermark/1489/8d2f8304-4a00-4abe-b0b7-f7c03c287478.png,https://www.arrabalesmotor.com/coches/segunda-mano/madrid/peugeot/208/gasolina/1-2-puretech-100cv-allure/818612/
2,Peugeot 208,"1.2 PureTech 100cv EAT8 Allure Pack  - Berlina con portón, 5 Puertas",25.390 €,-29%,17.940 €,08/2022,29.965 Km,Gasolina,"Consumo (combinado): 4,3 l/100km",etiqueta ambiental C,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/eYWPvZHMfEkKlECi.jpg?opacity=0&size=30&position=TOP_LEFT&border=8&watermark=/dealer/datafiles/vehicle/images/watermark/1489/8d2f8304-4a00-4abe-b0b7-f7c03c287478.png,https://www.arrabalesmotor.com/coches/segunda-mano/madrid/peugeot/208/gasolina/1-2-puretech-100cv-eat8-allure-pack/819069/
3,Fiat 500X Urban,"1,0 Firefly T3 120cv S&S Connect  - Crossover, 5 Puertas",22.200 €,-20%,17.800 €,03/2021,26.041 Km,Gasolina,"Consumo (combinado): 5,8 l/100km",etiqueta ambiental C,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/fWC2HkJ2FIzo85en.jpg,https://www.arrabalesmotor.com/coches/segunda-mano/madrid/fiat/500x-urban/gasolina/1-0-firefly-t3-120cv-s-s-connect/807267/
4,Citroën C3,"PureTech 83CV Max  - Berlina con portón, 5 Puertas",20.920 €,Km 0,15.500 €,10/2023,Gasolina,,"Consumo (combinado): 5,5 l/100km",etiqueta ambiental C,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/6oMYg8htBRAuoWnB.jpg,https://www.arrabalesmotor.com/coches/km0/madrid/citroen/c3/gasolina/puretech-83cv-max/807253/
5,Peugeot 2008,"1.5 BlueHDI 130cv S&S EAT8 Allure  - Crossover, 5 Puertas",32.640 €,-30%,22.990 €,05/2023,23.246 Km,Diésel,"Consumo (combinado): 3,8 l/100km",etiqueta ambiental C,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/6oMYg8htBRAuoWnB.jpg,https://www.arrabalesmotor.com/coches/km0/madrid/citroen/c3/gasolina/puretech-83cv-max/807253/
6,Kia Stonic,"1.2  DPi 84cv Concept  - Todoterreno, 5 Puertas",18.619 €,-25%,13.940 €,06/2021,72.355 Km,Gasolina,"Consumo (combinado): 5,4 l/100km",etiqueta ambiental C,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/NxfdJrvsuX9HH9fj.jpg,https://www.arrabalesmotor.com/coches/segunda-mano/madrid/kia/stonic/gasolina/1-2-dpi-84cv-concept/807232/
7,Kia Picanto,"1.0 DPi 67cv  Concept Pack Comfort  - Berlina con portón, 5 Puertas",14.585 €,-32%,9.990 €,04/2021,70.525 Km,Gasolina,"Consumo (combinado): 5,1 l/100km",etiqueta ambiental C,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/XzdxDLBv0X7rbRwG.jpg,https://www.arrabalesmotor.com/coches/segunda-mano/madrid/kia/picanto/gasolina/1-0-dpi-67cv-concept-pack-comfort/807220/
8,Fiat 500,"1.0 6v GSE 70cv Dolcevita  - Berlina con portón, 3 Puertas",18.450 €,-33%,12.440 €,06/2021,56.559 Km,Gasolina,"Consumo (combinado): 3,9 l/100km",etiqueta ambiental Eco,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/OMgefaPCpMil5ZrC.jpg,https://www.arrabalesmotor.com/coches/segunda-mano/madrid/fiat/500/gasolina/1-0-6v-gse-70cv-dolcevita/776260/
9,Fiat Panda,"1.0 Hybrid 70cv  - Berlina con portón, 5 Puertas",14.550 €,Km 0,13.400 €,10/2023,10 Km,Gasolina,"Consumo (combinado): 5,3 l/100km",etiqueta ambiental Eco,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/RTaAN3UnjeoQRdBw.jpg,https://www.arrabalesmotor.com/coches/km0/madrid/fiat/panda/gasolina/1-0-hybrid-70cv/772917/
10,DS DS7 Crossback,"1.2 PureTech 130cv  Auto. Bastille+  - Todoterreno, 5 Puertas",38.589 €,-34%,25.490 €,05/2021,32.529 Km,Gasolina,"Consumo (combinado): 5,2 l/100km",etiqueta ambiental Eco,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/RTaAN3UnjeoQRdBw.jpg,https://www.arrabalesmotor.com/coches/km0/madrid/fiat/panda/gasolina/1-0-hybrid-70cv/772917/
11,Renault Clio,"1.0 TCe 90cv Business  - Berlina con portón, 5 Puertas",17.510 €,-12%,15.490 €,06/2022,7.308 Km,Gasolina,"Consumo (combinado): 5,2 l/100km",etiqueta ambiental Eco,https://cdn.dealerk.es/dealer/datafiles/vehicle/images/0x250/1489/RTaAN3UnjeoQRdBw.jpg,https://www.arrabalesmotor.com/coches/km0/madrid/fiat/panda/gasolina/1-0-hybrid-70cv/772917/
